location,latitude,longitude
CALGARY TERMINAL,50.9996,-113.8932
EDMONTON TERMINAL,53.5332,-113.7668
WINNIPEG TERMINAL,50.0074,-97.2672
TORONTO TERMINAL,43.6073,-79.5157
LAREDO TERMINAL,27.506748,-99.502914
TERM-CGY,50.9996,-113.8932
TERM-EDM,53.5332,-113.7668
TERM-WIN,50.0074,-97.2672
TERM-TOR,43.6073,-79.5157
TERM-LAR,27.506748,-99.502914
EDMONTON YARD,53.5332,-113.7668
"ACHESON, AB",53.5522,-113.7627
"CALGARY, AB",51.045606,-114.057541
"WINNIPEG, MB",49.895537,-97.138458
"MISSISSAUGA, ON",43.589623,-79.644388
"BAKERSFIELD, CA",35.373871,-119.019463
"BRAMPTON, ON",43.685832,-79.759937
"CACTUS, TX",36.052257,-102.002399
"BALZAC, AB",51.2126,-114.0076
"DRAYTON VALLEY, AB",53.220555,-114.983213
"SMOKY LAKE, AB",54.285772,-112.240531
"STONY PLAIN, AB",53.531013,-113.99985
"ROCKY VIEW, AB",51.369935,-114.014186
"BRANDON, MB",49.851114,-99.960892
"CHATSWORTH, CA",34.259571,-118.602325
"WINKLER, MB",49.1802,-97.9391
"DEVON, AB",53.3601,-113.7215
"WHITECOURT, AB",54.136784,-115.654408
"VERGREVILLE, AB",53.494,-112.0538
"OSSIAN, IN",40.8806,-85.1664
"BARRHEAD, AB",54.168867,-114.474795
"DAYSLAND, AB",52.868043,-112.265681
"MORDEN, MB",49.1923,-98.1143
"BELLEVILLE, ON",44.1628,-77.3832
"ETOBICOKE, ON",43.643556,-79.565633
"SHEBOYGAN FALLS, WI",43.728892,-87.81141
"OXNARD, CA",34.197631,-119.180381
"ST ANDREWS, MB",50.2625,-96.9842
"NEEPAWA, MB",50.231935,-99.463726
"DONNA, TX",26.170208,-98.052238
"LAREDO, TX",27.505625,-99.507452
"FOWLER, CA",36.630506,-119.678469
"PORT HUENEME, CA",34.147756,-119.195156
"ROCKY VIEW COUNTY, AB",51.369935,-114.014186
"DELANO, CA",35.768842,-119.247053
"SANTA MARIA, CA",34.963623,-120.424576
"EDINBURG, TX",26.304225,-98.163751
"RED DEER, AB",52.269063,-113.814146
"BROOKS, AB",50.5657,-111.8978
"VEMILION, AB",53.3539,-110.8586
"JOUSSARD, AB",55.397884,-115.952337
"MANVILLE, AB",53.3402,-111.1752
"MANNVILLE, AB",53.3402,-111.1752
"PLAINFIELD, IN",39.7028,-86.403
"CAMROSE, AB",53.013131,-112.840576
"QUEBEC, QC",46.8131,-71.2075
"NORQUAY, SK",51.884226,-102.090746
"YORKTON, SK",51.212045,-102.461243
"GALVESTON, TX",29.3057,-94.793325
"SELMA, CA",36.5708,-119.6121
"CONRICH, AB",51.094769,-113.863159
"KANKAKEE, IL",41.12539,-87.848682
"LOST HILLS, CA",35.632387,-119.677707
"MOTLEY, MN",46.3366,-94.6462
"ATTLEBORO, MA",41.943813,-71.280652
"REEDLEY, CA",36.596391,-119.451188
"BRANTFORD, ON",43.140816,-80.263173
"MORRIS, IL",41.3573,-88.4212
"CITY OF INDUSTRY, CA",34.018225,-117.959306
"SPRUCE GROVE, AB",53.545204,-113.903503
"MIAMI, MB",49.3696,-98.239
"MENDOTA, CA",36.7536,-120.3816
"GRAND ISLAND, NE",40.924271,-98.338685
"GREELEY, CO",38.457036,-101.818501
"RIVERTON, MB",46.459964,-94.051933
"WETASKIWIN, AB",52.968492,-113.36792
"VIKING, AB",53.097288,-111.777147
"ATHABASCA, AB",54.721454,-113.285794
"TOFIELD, AB",53.369913,-112.668654
"MAYERTHORPE, AB",53.952367,-115.13841
"SURREY, BC",49.1913,-122.849
"EDMONTON, AB",53.546205,-113.491241
"SALINAS, CA",36.674412,-121.655037
"TRACY, CA",37.72067,-121.427785
"FRESNO, CA",36.739442,-119.78483
"GUADALUPE, CA",34.9716,-120.5718
"CAMBRIDGE, ON",43.397221,-80.311386
"JACKSON, TN",35.6145,-88.8139
"SAN JUAN BAUTISTA, CA",36.8455,-121.538
"MURFREESBORO, TN",35.84604,-86.39211
"KILLAM, AB",52.792978,-111.854941
"CUTLER, CA",36.5233,-119.2868
"SANJ UAN BAUTISTA, CA",36.8455,-121.538
"OLIVEHURST, CA",39.095371,-121.551775
"UNION, ON",43.6452,-79.3806
"BEDFORD PARK, IL",41.769052,-87.77701
"LIVINGSTON, CA",37.3869,-120.7235
"TORRANCE, CA",33.837139,-118.341361
"CASTROVILLE, CA",36.762,-121.7518
"TORONTO, ON",43.653482,-79.383935
"STANLEY, MB",49.121,-98.1122
"GRAWN, MI",44.660578,-85.692871
"BEAUMONT, TX",30.086046,-94.101846
"BROOKLYN, NY",40.652601,-73.949721
"MARINA, CA",36.684402,-121.80217
"SOMIS, CA",34.257226,-118.996212
"FULLERTON, CA",33.870821,-117.929416
"WATKINS GLEN, NY",42.381056,-76.870578
"RIO RICO, AZ",31.471483,-110.976477
"FIREBAUGH, CA",36.858838,-120.456007
"NATIONAL CITY, CA",32.678109,-117.099197
"DE PERE, WI",44.449358,-88.059999
"EVANSVILLE, IN",37.970495,-87.571564
"CROWS LANDING, CA",37.393824,-121.071598
"FARMINGDALE, NY",40.732881,-73.445856
"BRANTFORD`, ON",43.140816,-80.263173
"WINNINPEG, MB",49.8954,-97.1385
"HICKORY, NC",35.7345,-81.3445
"SIBLEY, IA",44.560352,-94.208568
"CHICAGO HEIGHTS, IL",41.506283,-87.635708
"HIGH RIVER, AB",50.580192,-113.870933
"PERU, IL",41.327534,-89.128975
"ADDISON, IL",41.931696,-87.988956
"PORT BURWELL, ON",42.6478,-80.8003
"ATWATER, CA",37.347717,-120.609084
"LODI, CA",38.1341,-121.2722
"BRISTOL, IN",41.7167,-85.8174
"MCALLEN, TX",26.204114,-98.23006
"LANSDOWNE, PA",39.941345,-75.275343
"MODESTO, CA",37.639342,-120.996889
"CARTERET, NJ",40.5864,-74.2262
"AGUILA, AZ",33.938288,-113.167519
"GONZALES, CA",36.5066,-121.4444
"FONTANA, CA",34.092295,-117.43433
"MORRIS, MB",49.3547,-97.3646
"CHICO, CA",39.728494,-121.837478
"SEABROOK, NH",42.891,-70.8655
"WARREN, IN",40.6828,-85.4272
"ALLIANCE, AB",52.4359,-111.7846
"OAKBANK, MB",49.9391177,-96.8425801
"TOLEDO, OH",41.651031,-83.541939
"MASKWACIS, AB",52.834548,-113.450681
"RICHMOND, BC",49.1666,-123.1336
"NOGALES, AZ",31.341928,-110.934105
"SWEET GRASS, MT",48.9961,-111.9676
"MEMPHIS, TN",35.146025,-90.051764
"PASCO, WA",46.2305,-119.0922
"NEW YORK, NY",40.712728,-74.006015
"COKATO, MN",45.075043,-94.190367
"SUGAR LAND, TX",29.619679,-95.634946
"DETROIT, MI",42.331551,-83.04664
"YUMA, AZ",32.723268,-114.617995
"DEFOREST, WI",43.247769,-89.343728
"HACKENSACK, MN",46.9308,-94.5206
"HERMISTON, OR",45.84041,-119.28946
"AKRON, OH",41.083064,-81.518485
"WESTERVILLE, OH",40.126139,-82.929529
"PLUM COULEE, MB",49.187988,-97.76705
"HIDALGO, TX",26.353026,-98.216445
"HARRISBURG, PA",40.266311,-76.886112
"WILMINGTON, DE",39.745947,-75.546589
"BRAWLEY, CA",32.978657,-115.530267
"MARCHAND, MB",49.4484,-96.3915
"REGINA, SK",50.447973,-104.615876
"MONROVIA, MD",39.3722,-77.271
"AUBURN, WA",47.307537,-122.230181
"BLAINE, WA",48.9937,-122.7471
"BRONX, NY",40.846651,-73.878594
"MUNDARE, AB",53.588653,-112.348903
"PEMBINA, ND",48.753079,-97.553283
"SAN DIEGO, CA",32.71742,-117.162772
"JESSUP, MD",39.147001,-76.769918
"DELTA, BC",49.0952,-123.0265
"OCEANO, CA",35.10268,-120.611471
"WATSONVILLE, CA",36.909277,-121.752907
"FOREST GROVE, OR",45.51904,-123.111055
"HILLSBOROUGH, NJ",40.5081,-74.6374
"REESEVILLE, WI",43.304994,-88.844828
"SAN JUAN, TX",26.414966,-98.943691
"EDISON, CA",35.3475,-118.872
"LE MARS, IA",42.792151,-96.166299
"EL PASO, TX",31.760116,-106.48704
"HEADINGLEY, MB",49.8755,-97.4087
"WINDSOR, CO",40.4775,-104.9014
"LA MIRADA, CA",33.906097,-118.010709
"LAVAL, QC",45.605589,-73.73456
"PHARR, TX",26.194796,-98.183622
"STURGEON COUNTY, AB",53.84223,-113.540655
"QUINCY, FL",30.588,-84.5911
"LOGAN TOWNSHIP, NJ",39.8008,-75.3412
"SHELBY, MT",48.5067,-111.8561
"BURLINGTON, ON",44.47616,-73.212906
"SEATTLE, WA",47.603832,-122.330062
"PORT COQUITLAM, BC",49.262164,-122.780542
"QUINCY, WA",47.2343,-119.8526
"LOS ANGELES, CA",34.053691,-118.242766
"JOLIET, IL",41.52636,-88.084021
"RICHMOND, IN",39.8289,-84.8902
"BLUMENORT, MB",49.6079,-96.6935
"STOUGHTON, MA",42.1229,-71.1092
"KITCHENER, ON",43.451291,-80.492782
"SPRING, TX",30.079571,-95.418792
"HIGH PRAIRIE, AB",55.435892,-116.489479
"RICHGROVE, CA",35.796806,-119.106622
"SPRECKELS, CA",36.62423,-121.646986
"NOTRE DAME DE LOURDES, MB",49.5327,-98.558
"ST. ALBERT, AB",53.633239,-113.628845
"ORILLIA, ON",44.606614,-79.416926
"SANTA FE SPRINGS, CA",33.948079,-118.06915
"MISSION, TX",26.215907,-98.325293
"CRAWFORDSVILLE, IN",40.040199,-86.899025
"ST. BRUNO, QC",45.533333,-73.349998
"PARMA, ID",43.786009,-116.942656
"VERNON, CA",34.0039,-118.2301
"HUNTLEY, IL",42.17225,-88.42692
"DINUBA, CA",36.543284,-119.387066
"MILLERSBURG, OH",40.5545,-81.9179
"POMPANO BEACH, FL",26.23786,-80.124767
"LONG BEACH, CA",33.769016,-118.191604
"TISDALE, SK",52.850059,-104.048767
"NIAGARA FALLS, NY",43.08436,-79.061469
"GREEN BAY, WI",44.512638,-88.012579
"COACHELLA, CA",33.671147,-116.134235
"RIDGEWOOD, NY",40.979668,-74.11944
"UPS CALEDON, ON",43.768371,-79.804127
"SALEM, OR",44.939157,-123.033121
"EL CENTRO, CA",32.792,-115.563051
"BEAUSEJOUR, MB",50.061931,-96.514082
"CONCORD, ON",43.7983,-79.5079
"KENNETT SQUARE, PA",39.846741,-75.7117
"SODUS, NY",43.237843,-77.061362
"HOSKIE, NY",40.7041,-73.9353
"TERA BELLA, CA",35.961292,-119.040914
"BROOK, IN",40.8664,-87.3636
"ABBOTSFORD, BC",49.052116,-122.329479
"PORTAGE LA PRAIRIE, MB",49.972422,-98.289185
"HOLTVILLE, CA",32.813921,-115.378107
"RIO GRANDE, TX",29.74434,-102.67467
"BURTON, OH",41.470608,-81.145103
"CLEVELAND, OH",41.499657,-81.693677
"TERRA BELLA, CA",35.960622,-119.035847
"RIVERSIDE, CA",33.982495,-117.374238
